date,Profit
1/1/2011,-26
1/3/2011,290
1/4/2011,21
1/4/2011,-22
1/5/2011,-1
1/7/2011,21
1/8/2011,77
1/11/2011,36
1/11/2011,2
1/11/2011,143
1/11/2011,-1012
1/12/2011,-56
1/12/2011,14
1/12/2011,20
1/13/2011,-342
1/13/2011,10
1/14/2011,31
1/15/2011,6
1/17/2011,7
1/18/2011,-6
1/18/2011,70
1/19/2011,165
1/19/2011,49
1/20/2011,6
1/21/2011,21
1/22/2011,-3
1/22/2011,-12
1/24/2011,-38
1/24/2011,-131
1/25/2011,-14
1/25/2011,103
1/26/2011,78
1/26/2011,66
1/26/2011,3
1/28/2011,7
2/1/2011,25
2/1/2011,2
2/2/2011,11
2/2/2011,-8
2/2/2011,33
2/2/2011,-11
2/2/2011,44
2/2/2011,8
2/2/2011,21
2/3/2011,8
2/4/2011,233
2/7/2011,338
2/7/2011,3
2/8/2011,120
2/9/2011,12
2/9/2011,59
2/9/2011,-57
2/10/2011,-95
2/10/2011,3
2/10/2011,8
2/10/2011,3
2/14/2011,4
2/15/2011,59
2/15/2011,4
2/16/2011,4
2/18/2011,5
2/18/2011,20
2/18/2011,10
2/21/2011,18
2/21/2011,-217
2/22/2011,-1
2/22/2011,20
2/22/2011,11
2/23/2011,4
2/24/2011,8
2/26/2011,140
3/1/2011,8
3/1/2011,43
3/1/2011,-8
3/1/2011,0
3/1/2011,-59
3/1/2011,-41
3/3/2011,18
3/7/2011,-8
3/8/2011,-236
3/9/2011,-76
3/10/2011,104
3/10/2011,241
3/10/2011,23
3/11/2011,1
3/11/2011,13
3/12/2011,-62
3/12/2011,15
3/14/2011,4
3/14/2011,6
3/14/2011,12
3/14/2011,11
3/15/2011,22
3/16/2011,5
3/17/2011,21
3/18/2011,90
3/18/2011,-19
3/21/2011,-2
3/21/2011,15
3/21/2011,24
3/21/2011,18
3/21/2011,5
3/22/2011,-3
3/23/2011,-14
3/24/2011,-220
3/25/2011,117
3/25/2011,24
3/25/2011,8
3/25/2011,27
3/26/2011,353
3/26/2011,4
3/28/2011,1
3/28/2011,2
3/29/2011,-577
3/29/2011,-500
3/30/2011,-82
3/31/2011,19
3/31/2011,1868
3/31/2011,0
4/1/2011,32
4/1/2011,43
4/4/2011,8
4/4/2011,23
4/4/2011,8
4/5/2011,-2
4/6/2011,14
4/6/2011,6
4/7/2011,8
4/7/2011,-943
4/9/2011,78
4/11/2011,-13
4/11/2011,-5
4/12/2011,2
4/12/2011,30
4/14/2011,12
4/14/2011,8
4/15/2011,8
4/16/2011,40
4/18/2011,-93
4/18/2011,-60
4/18/2011,104
4/19/2011,77
4/19/2011,58
4/20/2011,0
4/20/2011,-41
4/20/2011,0
4/21/2011,35
4/22/2011,13
4/25/2011,45
4/26/2011,24
4/26/2011,37
4/26/2011,3
4/26/2011,-5
4/27/2011,342
4/27/2011,289
4/27/2011,35
4/27/2011,10
4/28/2011,30
4/29/2011,29
4/29/2011,37
4/29/2011,15
4/29/2011,37
4/29/2011,21
4/29/2011,27
5/2/2011,59
5/2/2011,203
5/3/2011,-18
5/4/2011,10
5/4/2011,28
5/4/2011,14
5/4/2011,7
5/4/2011,57
5/5/2011,91
5/5/2011,20
5/6/2011,62
5/7/2011,1364
5/7/2011,20
5/9/2011,49
5/9/2011,4
5/10/2011,73
5/10/2011,4
5/10/2011,-2
5/10/2011,19
5/11/2011,8
5/12/2011,10
5/12/2011,7
5/13/2011,12
5/13/2011,5
5/15/2011,28
5/16/2011,20
5/17/2011,7
5/18/2011,42
5/18/2011,14
5/18/2011,0
5/18/2011,9
5/19/2011,3
5/19/2011,-90
5/21/2011,16
5/21/2011,27
5/25/2011,85
5/26/2011,8
5/26/2011,27
5/26/2011,76
5/27/2011,20
5/27/2011,3
5/27/2011,45
5/28/2011,36
5/30/2011,-9
5/31/2011,-4
6/1/2011,-12
6/1/2011,-55
6/1/2011,98
6/1/2011,26
6/1/2011,45
6/1/2011,-21
6/2/2011,-59
6/2/2011,27
6/2/2011,3
6/2/2011,45
6/3/2011,-6
6/4/2011,-57
6/4/2011,-1
6/6/2011,14
6/6/2011,16
6/6/2011,37
6/6/2011,446
6/6/2011,9
6/6/2011,8
6/6/2011,30
6/7/2011,-44
6/7/2011,69
6/7/2011,32
6/7/2011,50
6/7/2011,-290
6/7/2011,175
6/7/2011,33
6/7/2011,14
6/8/2011,16
6/8/2011,483
6/8/2011,139
6/8/2011,234
6/9/2011,1
6/9/2011,17
6/9/2011,221
6/9/2011,38
6/9/2011,6
6/10/2011,184
6/10/2011,1
6/10/2011,2
6/11/2011,19
6/11/2011,-127
6/13/2011,-5
6/13/2011,74
6/13/2011,8
6/13/2011,25
6/14/2011,86
6/14/2011,9
6/14/2011,109
6/15/2011,-12
6/15/2011,19
6/15/2011,4
6/16/2011,39
6/16/2011,5
6/16/2011,1
6/16/2011,51
6/16/2011,32
6/17/2011,6
6/17/2011,12
6/17/2011,-7
6/17/2011,14
6/17/2011,1
6/18/2011,18
6/18/2011,10
6/18/2011,-238
6/20/2011,-37
6/20/2011,12
6/20/2011,1
6/21/2011,32
6/22/2011,7
6/22/2011,24
6/22/2011,0
6/22/2011,2
6/22/2011,12
6/22/2011,32
6/24/2011,12
6/24/2011,12
6/24/2011,89
6/24/2011,229
6/25/2011,0
6/27/2011,10
6/27/2011,89
6/27/2011,3
6/27/2011,76
6/27/2011,-19
6/27/2011,-24
6/27/2011,65
6/27/2011,65
6/28/2011,-34
6/28/2011,21
6/28/2011,-36
6/28/2011,133
6/28/2011,552
6/28/2011,251
6/29/2011,40
6/29/2011,4
7/1/2011,2
7/2/2011,5
7/6/2011,6
7/6/2011,7
7/6/2011,0
7/7/2011,12
7/8/2011,40
7/8/2011,8
7/9/2011,14
7/9/2011,17
7/11/2011,44
7/12/2011,1
7/12/2011,154
7/12/2011,73
7/12/2011,232
7/13/2011,29
7/14/2011,112
7/14/2011,33
7/16/2011,27
7/18/2011,11
7/18/2011,3
7/20/2011,503
7/20/2011,4
7/21/2011,10
7/22/2011,260
7/24/2011,4
7/26/2011,14
7/27/2011,53
7/27/2011,524
7/27/2011,87
7/27/2011,30
7/27/2011,31
7/28/2011,4
7/28/2011,17
7/29/2011,3
7/29/2011,0
7/29/2011,20
7/31/2011,35
7/31/2011,-48
8/1/2011,-82
8/1/2011,-8
8/2/2011,-31
8/3/2011,-32
8/3/2011,-17
8/3/2011,-232
8/3/2011,8
8/3/2011,12
8/4/2011,18
8/4/2011,70
8/4/2011,17
8/5/2011,-24
8/5/2011,-8
8/5/2011,-2
8/5/2011,-7
8/6/2011,-36
8/7/2011,-140
8/8/2011,-19
8/8/2011,-135
8/9/2011,-18
8/9/2011,52
8/9/2011,400
8/9/2011,36
8/9/2011,73
8/9/2011,-39
8/9/2011,8
8/9/2011,14
8/9/2011,-47
8/10/2011,132
8/10/2011,16
8/11/2011,-1
8/11/2011,106
8/11/2011,27
8/11/2011,125
8/12/2011,-20
8/12/2011,0
8/12/2011,59
8/12/2011,86
8/12/2011,0
8/15/2011,-91
8/15/2011,0
8/15/2011,-8
8/15/2011,1
8/15/2011,4
8/15/2011,5
8/16/2011,14
8/16/2011,-102
8/16/2011,209
8/16/2011,-371
8/17/2011,1
8/17/2011,15
8/18/2011,171
8/18/2011,6
8/18/2011,189
8/18/2011,14
8/18/2011,4
8/19/2011,45
8/21/2011,40
8/21/2011,-395
8/21/2011,-25
8/22/2011,30
8/23/2011,14
8/23/2011,-38
8/23/2011,33
8/23/2011,12
8/24/2011,-754
8/24/2011,-25
8/24/2011,5
8/24/2011,7
8/25/2011,210
8/25/2011,185
8/25/2011,58
8/25/2011,36
8/25/2011,70
8/25/2011,-247
8/26/2011,26
8/26/2011,8
8/26/2011,-10
8/26/2011,-6
8/26/2011,-42
8/27/2011,5
8/27/2011,-105
8/27/2011,-22
8/27/2011,0
8/29/2011,410
8/29/2011,4
8/30/2011,-1
8/30/2011,-357
8/30/2011,-175
8/30/2011,0
8/31/2011,-8
8/31/2011,89
9/1/2011,-357
9/1/2011,10
9/1/2011,2
9/2/2011,8
9/2/2011,5
9/2/2011,80
9/3/2011,83
9/3/2011,25
9/5/2011,27
9/6/2011,9
9/6/2011,0
9/6/2011,129
9/6/2011,323
9/7/2011,-8
9/8/2011,26
9/8/2011,192
9/8/2011,-37
9/8/2011,58
9/9/2011,4
9/9/2011,12
9/10/2011,60
9/12/2011,44
9/12/2011,15
9/12/2011,53
9/13/2011,36
9/13/2011,45
9/14/2011,22
9/14/2011,3
9/14/2011,7
9/14/2011,9
9/14/2011,-110
9/14/2011,14
9/14/2011,44
9/15/2011,316
9/15/2011,48
9/15/2011,2
9/15/2011,22
9/15/2011,6
9/15/2011,35
9/16/2011,-13
9/16/2011,0
9/16/2011,-15
9/16/2011,114
9/17/2011,8
9/17/2011,227
9/18/2011,1
9/19/2011,-31
9/19/2011,6
9/19/2011,-38
9/19/2011,8
9/19/2011,60
9/19/2011,156
9/20/2011,-28
9/20/2011,2
9/20/2011,5
9/20/2011,29
9/20/2011,-114
9/20/2011,6
9/20/2011,391
9/21/2011,26
9/21/2011,0
9/22/2011,55
9/22/2011,-48
9/22/2011,165
9/22/2011,56
9/22/2011,18
9/23/2011,51
9/23/2011,39
9/23/2011,8
9/23/2011,6
9/23/2011,24
9/24/2011,273
9/24/2011,7
9/26/2011,-12
9/26/2011,-74
9/26/2011,-177
9/26/2011,-61
9/27/2011,34
9/27/2011,40
9/27/2011,10
9/27/2011,-78
9/27/2011,-22
9/27/2011,26
9/27/2011,266
9/28/2011,36
9/28/2011,-8
9/28/2011,-143
9/28/2011,-15
9/28/2011,25
9/28/2011,42
9/29/2011,-25
9/29/2011,653
9/29/2011,0
9/30/2011,60
9/30/2011,102
9/30/2011,139
9/30/2011,62
10/3/2011,-37
10/4/2011,16
10/6/2011,8
10/7/2011,-25
10/8/2011,23
10/8/2011,7
10/10/2011,8
10/10/2011,-52
10/10/2011,80
10/11/2011,24
10/11/2011,1
10/11/2011,79
10/12/2011,7
10/12/2011,87
10/13/2011,197
10/13/2011,83
10/14/2011,59
10/14/2011,146
10/17/2011,96
10/18/2011,13
10/19/2011,51
10/19/2011,11
10/20/2011,14
10/20/2011,123
10/20/2011,293
10/21/2011,141
10/22/2011,49
10/22/2011,5
10/24/2011,55
10/24/2011,21
10/25/2011,-90
10/25/2011,-3
10/26/2011,-17
10/27/2011,50
10/28/2011,13
10/31/2011,132
10/31/2011,2
10/31/2011,31
11/1/2011,56
11/1/2011,-64
11/1/2011,18
11/1/2011,-1
11/1/2011,-96
11/2/2011,35
11/2/2011,-9
11/2/2011,19
11/2/2011,6
11/2/2011,35
11/2/2011,10
11/3/2011,140
11/3/2011,99
11/3/2011,3
11/3/2011,122
11/3/2011,144
11/3/2011,-4
11/3/2011,14
11/3/2011,-22
11/4/2011,41
11/4/2011,31
11/4/2011,54
11/4/2011,199
11/4/2011,138
11/4/2011,55
11/5/2011,30
11/6/2011,22
11/7/2011,24
11/7/2011,23
11/8/2011,105
11/8/2011,30
11/8/2011,412
11/8/2011,24
11/8/2011,6
11/9/2011,8
11/9/2011,66
11/10/2011,-4
11/10/2011,-47
11/10/2011,12
11/10/2011,25
11/10/2011,10
11/10/2011,14
11/11/2011,0
11/13/2011,-96
11/14/2011,-8
11/14/2011,24
11/15/2011,10
11/15/2011,5
11/15/2011,36
11/16/2011,55
11/16/2011,52
11/17/2011,60
11/17/2011,-23
11/17/2011,35
11/18/2011,10
11/19/2011,5
11/21/2011,57
11/21/2011,-88
11/21/2011,-34
11/22/2011,-54
11/22/2011,1
11/22/2011,332
11/22/2011,-33
11/22/2011,-5
11/23/2011,7
11/23/2011,41
11/24/2011,5
11/25/2011,-69
11/25/2011,2
11/26/2011,-75
11/26/2011,11
11/26/2011,534
11/27/2011,4
11/27/2011,-63
11/28/2011,69
11/28/2011,21
11/28/2011,-44
11/28/2011,-70
11/29/2011,-10
11/29/2011,-17
11/29/2011,15
11/30/2011,7
11/30/2011,14
11/30/2011,67
11/30/2011,15
12/1/2011,1
12/1/2011,10
12/1/2011,22
12/1/2011,75
12/1/2011,6
12/2/2011,66
12/2/2011,-1
12/2/2011,22
12/2/2011,32
12/3/2011,25
12/3/2011,50
12/5/2011,46
12/5/2011,32
12/6/2011,27
12/6/2011,2
12/6/2011,79
12/6/2011,7
12/6/2011,44
12/7/2011,1
12/7/2011,14
12/8/2011,16
12/8/2011,37
12/8/2011,5
12/8/2011,88
12/9/2011,31
12/9/2011,14
12/10/2011,7
12/10/2011,3
12/10/2011,-26
12/10/2011,-44
12/12/2011,96
12/12/2011,15
12/12/2011,11
12/13/2011,70
12/13/2011,17
12/13/2011,17
12/13/2011,29
12/13/2011,5
12/13/2011,308
12/13/2011,16
12/14/2011,7
12/15/2011,78
12/15/2011,15
12/15/2011,0
12/15/2011,2
12/15/2011,11
12/15/2011,30
12/16/2011,84
12/16/2011,166
12/17/2011,13
12/17/2011,24
12/17/2011,26
12/17/2011,39
12/19/2011,0
12/19/2011,10
12/19/2011,1759
12/19/2011,3
12/20/2011,17
12/20/2011,28
12/20/2011,1
12/20/2011,34
12/20/2011,0
12/20/2011,4
12/20/2011,-61
12/21/2011,-20
12/21/2011,11
12/21/2011,33
12/21/2011,25
12/22/2011,-14
12/22/2011,32
12/22/2011,68
12/23/2011,185
12/23/2011,263
12/24/2011,64
12/26/2011,13
12/26/2011,18
12/26/2011,102
12/26/2011,29
12/26/2011,19
12/26/2011,261
12/27/2011,2
12/27/2011,20
12/27/2011,3
12/27/2011,27
12/27/2011,12
12/28/2011,12
12/28/2011,9
12/28/2011,9
12/28/2011,91
12/28/2011,39
12/29/2011,4
12/29/2011,6
12/29/2011,24
12/30/2011,290
12/30/2011,1425
12/30/2011,7
12/30/2011,-627
1/2/2012,10
1/2/2012,160
1/3/2012,4
1/3/2012,-25
1/4/2012,0
1/5/2012,185
1/5/2012,12
1/5/2012,84
1/5/2012,92
1/5/2012,25
1/6/2012,44
1/7/2012,2
1/7/2012,179
1/7/2012,7
1/9/2012,8
1/9/2012,3
1/9/2012,5
1/10/2012,31
1/10/2012,19
1/11/2012,7
1/12/2012,2
1/12/2012,-204
1/13/2012,19
1/13/2012,36
1/14/2012,-46
1/16/2012,-353
1/16/2012,17
1/16/2012,6
1/16/2012,18
1/16/2012,-1
1/17/2012,-75
1/18/2012,-190
1/18/2012,9
1/18/2012,25
1/18/2012,2
1/19/2012,-20
1/20/2012,-4
1/20/2012,-4
1/22/2012,-306
1/23/2012,117
1/23/2012,8
1/23/2012,13
1/24/2012,21
1/24/2012,18
1/24/2012,-25
1/24/2012,30
1/25/2012,29
1/25/2012,-19
1/25/2012,-55
1/25/2012,32
1/27/2012,45
1/27/2012,23
1/27/2012,4
1/28/2012,10
1/30/2012,59
1/30/2012,132
1/30/2012,45
2/1/2012,29
2/2/2012,8
2/2/2012,3
2/3/2012,-106
2/3/2012,24
2/4/2012,-96
2/6/2012,9
2/6/2012,34
2/7/2012,4
2/7/2012,18
2/7/2012,-96
2/8/2012,-59
2/9/2012,-221
2/9/2012,41
2/9/2012,141
2/10/2012,15
2/11/2012,136
2/13/2012,-4
2/14/2012,119
2/14/2012,21
2/15/2012,6
2/15/2012,16
2/15/2012,99
2/18/2012,14
2/18/2012,21
2/18/2012,16
2/20/2012,16
2/21/2012,8
2/22/2012,302
2/22/2012,-32
2/22/2012,-128
2/23/2012,11
2/23/2012,11
2/27/2012,10
2/28/2012,24
2/28/2012,8
2/28/2012,28
2/29/2012,108
3/1/2012,82
3/2/2012,10
3/2/2012,-3
3/2/2012,29
3/2/2012,29
3/3/2012,2
3/5/2012,8
3/5/2012,-98
3/5/2012,-5
3/6/2012,-226
3/6/2012,46
3/6/2012,66
3/7/2012,246
3/7/2012,10
3/7/2012,185
3/7/2012,12
3/7/2012,0
3/7/2012,7
3/8/2012,42
3/9/2012,31
3/9/2012,2476
3/9/2012,76
3/12/2012,20
3/13/2012,83
3/13/2012,80
3/13/2012,27
3/13/2012,63
3/14/2012,2
3/14/2012,7
3/14/2012,653
3/15/2012,3
3/15/2012,43
3/15/2012,-2
3/15/2012,-37
3/15/2012,129
3/16/2012,37
3/16/2012,4
3/16/2012,4
3/17/2012,14
3/17/2012,28
3/17/2012,-68
3/19/2012,14
3/19/2012,-11
3/19/2012,-74
3/19/2012,19
3/19/2012,8
3/19/2012,108
3/20/2012,-15
3/20/2012,11
3/20/2012,15
3/21/2012,17
3/22/2012,73
3/22/2012,270
3/22/2012,-3
3/22/2012,233
3/23/2012,180
3/23/2012,3
3/23/2012,17
3/24/2012,-38
3/24/2012,-125
3/26/2012,247
3/26/2012,686
3/26/2012,0
3/26/2012,38
3/27/2012,198
3/27/2012,32
3/27/2012,142
3/28/2012,36
3/29/2012,70
3/29/2012,160
3/30/2012,1
3/30/2012,9
3/31/2012,30
3/31/2012,48
4/2/2012,49
4/2/2012,68
4/3/2012,9
4/3/2012,326
4/3/2012,1
4/4/2012,19
4/4/2012,1
4/5/2012,41
4/6/2012,179
4/6/2012,11
4/6/2012,-6
4/7/2012,10
4/9/2012,0
4/9/2012,487
4/9/2012,36
4/10/2012,7
4/10/2012,24
4/10/2012,57
4/10/2012,41
4/11/2012,499
4/12/2012,9
4/13/2012,6
4/13/2012,25
4/13/2012,15
4/14/2012,107
4/16/2012,96
4/16/2012,80
4/16/2012,59
4/17/2012,20
4/19/2012,138
4/19/2012,97
4/20/2012,2
4/20/2012,242
4/20/2012,377
4/22/2012,-3
4/22/2012,3
4/23/2012,32
4/23/2012,16
4/23/2012,4
4/24/2012,155
4/24/2012,-24
4/24/2012,25
4/25/2012,59
4/26/2012,237
4/26/2012,10
4/26/2012,14
4/27/2012,48
4/27/2012,-1
4/27/2012,83
4/27/2012,-3
4/27/2012,38
4/27/2012,7
4/28/2012,0
4/28/2012,70
4/30/2012,124
5/1/2012,13
5/1/2012,37
5/1/2012,8
5/3/2012,52
5/8/2012,239
5/8/2012,170
5/9/2012,15
5/9/2012,0
5/9/2012,40
5/11/2012,45
5/11/2012,32
5/11/2012,101
5/12/2012,-193
5/13/2012,-104
5/14/2012,41
5/14/2012,7
5/14/2012,21
5/15/2012,10
5/15/2012,5
5/15/2012,2
5/15/2012,8
5/16/2012,4
5/16/2012,290
5/17/2012,38
5/17/2012,5
5/18/2012,30
5/18/2012,175
5/18/2012,0
5/21/2012,53
5/21/2012,32
5/21/2012,1
5/21/2012,-157
5/21/2012,-96
5/21/2012,-182
5/22/2012,-1
5/22/2012,-33
5/22/2012,102
5/23/2012,11
5/24/2012,0
5/24/2012,-136
5/25/2012,146
5/25/2012,2
5/26/2012,36
5/28/2012,16
5/29/2012,-137
5/29/2012,132
5/30/2012,73
5/31/2012,70
5/31/2012,0
5/31/2012,-30
5/31/2012,0
6/1/2012,3
6/1/2012,24
6/1/2012,11
6/1/2012,12
6/1/2012,17
6/1/2012,26
6/2/2012,16
6/2/2012,-116
6/2/2012,9
6/4/2012,28
6/4/2012,14
6/4/2012,56
6/5/2012,104
6/6/2012,-5
6/6/2012,306
6/6/2012,30
6/6/2012,3
6/6/2012,-12
6/7/2012,2
6/7/2012,-10
6/8/2012,-12
6/8/2012,-10
6/8/2012,14
6/8/2012,12
6/9/2012,21
6/9/2012,200
6/11/2012,-4
6/11/2012,180
6/11/2012,261
6/11/2012,12
6/11/2012,16
6/11/2012,2
6/11/2012,3
6/12/2012,4
6/12/2012,7
6/13/2012,-122
6/13/2012,15
6/14/2012,82
6/14/2012,33
6/15/2012,46
6/15/2012,19
6/15/2012,15
6/15/2012,18
6/15/2012,65
6/16/2012,1
6/16/2012,-77
6/16/2012,-34
6/18/2012,3
6/18/2012,36
6/18/2012,4
6/18/2012,260
6/19/2012,-10
6/19/2012,13
6/19/2012,6
6/19/2012,3
6/19/2012,5
6/20/2012,28
6/20/2012,80
6/20/2012,35
6/20/2012,-16
6/20/2012,0
6/20/2012,61
6/20/2012,5
6/21/2012,25
6/21/2012,38
6/21/2012,361
6/21/2012,3
6/21/2012,38
6/22/2012,0
6/22/2012,13
6/22/2012,653
6/23/2012,277
6/23/2012,82
6/25/2012,8
6/25/2012,-42
6/25/2012,14
6/25/2012,36
6/25/2012,251
6/25/2012,22
6/25/2012,5
6/26/2012,10
6/26/2012,26
6/26/2012,6
6/27/2012,109
6/27/2012,373
6/27/2012,6
6/28/2012,53
6/28/2012,18
6/28/2012,182
6/28/2012,36
6/29/2012,2
6/29/2012,145
6/29/2012,33
6/29/2012,22
6/29/2012,34
6/29/2012,11
6/30/2012,321
6/30/2012,-76
7/1/2012,-3
7/2/2012,10
7/3/2012,5
7/3/2012,40
7/3/2012,1518
7/4/2012,54
7/4/2012,16
7/4/2012,357
7/4/2012,76
7/5/2012,41
7/5/2012,299
7/6/2012,14
7/6/2012,70
7/6/2012,8
7/6/2012,31
7/6/2012,9
7/6/2012,56
7/10/2012,16
7/11/2012,175
7/11/2012,23
7/11/2012,14
7/11/2012,53
7/12/2012,36
7/13/2012,9
7/13/2012,9
7/13/2012,56
7/13/2012,29
7/13/2012,10
7/13/2012,19
7/13/2012,5
7/14/2012,3
7/14/2012,-21
7/14/2012,5
7/16/2012,8
7/17/2012,-6
7/17/2012,20
7/18/2012,14
7/18/2012,-7
7/20/2012,181
7/20/2012,3
7/20/2012,9
7/23/2012,-32
7/23/2012,15
7/23/2012,13
7/24/2012,22
7/24/2012,5
7/25/2012,7
7/25/2012,3
7/25/2012,58
7/25/2012,53
7/26/2012,24
7/27/2012,80
7/28/2012,20
7/28/2012,19
7/30/2012,11
7/30/2012,178
7/30/2012,160
7/30/2012,-28
8/1/2012,0
8/1/2012,-2
8/1/2012,-20
8/1/2012,-20
8/1/2012,30
8/2/2012,61
8/2/2012,41
8/2/2012,-1
8/3/2012,-53
8/3/2012,-177
8/3/2012,-45
8/3/2012,4
8/3/2012,-304
8/3/2012,6
8/3/2012,-134
8/3/2012,95
8/4/2012,16
8/4/2012,24
8/4/2012,23
8/4/2012,27
8/5/2012,41
8/6/2012,20
8/6/2012,38
8/6/2012,68
8/6/2012,-68
8/6/2012,-23
8/6/2012,54
8/6/2012,40
8/6/2012,82
8/7/2012,56
8/7/2012,21
8/7/2012,24
8/7/2012,25
8/7/2012,245
8/8/2012,46
8/8/2012,0
8/8/2012,18
8/9/2012,231
8/9/2012,84
8/9/2012,-7
8/9/2012,609
8/10/2012,12
8/10/2012,36
8/10/2012,-22
8/10/2012,-113
8/10/2012,5
8/10/2012,-40
8/10/2012,23
8/11/2012,-15
8/12/2012,0
8/13/2012,-7
8/13/2012,-6
8/13/2012,-6
8/13/2012,-68
8/13/2012,68
8/13/2012,41
8/14/2012,-373
8/14/2012,2
8/14/2012,-1
8/14/2012,14
8/14/2012,-30
8/14/2012,-86
8/14/2012,10
8/15/2012,69
8/15/2012,594
8/15/2012,-45
8/15/2012,84
8/16/2012,-5
8/16/2012,6
8/16/2012,-1268
8/16/2012,-7
8/17/2012,20
8/17/2012,-90
8/18/2012,-3
8/18/2012,701
8/18/2012,5
8/18/2012,4
8/20/2012,-44
8/20/2012,844
8/21/2012,81
8/21/2012,-41
8/21/2012,13
8/21/2012,152
8/21/2012,82
8/22/2012,26
8/22/2012,2
8/23/2012,1
8/23/2012,5
8/23/2012,10
8/23/2012,8
8/23/2012,174
8/23/2012,35
8/23/2012,1
8/24/2012,149
8/24/2012,7
8/24/2012,9
8/24/2012,8
8/24/2012,46
8/24/2012,19
8/24/2012,140
8/24/2012,1
8/25/2012,1
8/25/2012,-49
8/27/2012,370
8/27/2012,9
8/27/2012,28
8/28/2012,34
8/28/2012,63
8/29/2012,48
8/29/2012,21
8/29/2012,19
8/29/2012,54
8/29/2012,66
8/29/2012,-25
8/29/2012,14
8/29/2012,23
8/29/2012,2
8/30/2012,0
8/30/2012,138
8/30/2012,14
8/30/2012,0
8/30/2012,18
8/30/2012,68
8/31/2012,-6
8/31/2012,83
8/31/2012,341
8/31/2012,2
9/1/2012,105
9/1/2012,0
9/1/2012,7
9/2/2012,1
9/2/2012,8
9/3/2012,25
9/3/2012,-13
9/3/2012,6
9/3/2012,-58
9/3/2012,4
9/3/2012,6
9/4/2012,42
9/4/2012,-21
9/4/2012,-90
9/4/2012,-400
9/4/2012,-112
9/4/2012,-58
9/5/2012,-88
9/5/2012,-26
9/5/2012,-327
9/5/2012,-376
9/5/2012,-17
9/6/2012,-22
9/6/2012,-3
9/6/2012,14
9/6/2012,-190
9/7/2012,31
9/7/2012,14
9/7/2012,-6
9/7/2012,-47
9/7/2012,-4
9/7/2012,-45
9/8/2012,-41
9/9/2012,617
9/10/2012,159
9/10/2012,4
9/10/2012,7
9/10/2012,19
9/10/2012,90
9/10/2012,379
9/11/2012,56
9/11/2012,21
9/12/2012,36
9/12/2012,67
9/12/2012,15
9/12/2012,-20
9/12/2012,0
9/13/2012,37
9/13/2012,-103
9/13/2012,-40
9/13/2012,-34
9/14/2012,3
9/14/2012,283
9/16/2012,11
9/17/2012,56
9/17/2012,168
9/17/2012,820
9/17/2012,150
9/17/2012,8
9/18/2012,-4
9/18/2012,200
9/19/2012,572
9/19/2012,57
9/20/2012,23
9/20/2012,4
9/20/2012,35
9/20/2012,24
9/20/2012,2
9/20/2012,102
9/21/2012,131
9/21/2012,10
9/21/2012,78
9/21/2012,-4
9/21/2012,12
9/21/2012,-20
9/22/2012,17
