 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
0.501828109,0.558438727,0.549440548,0.603453495,0.603482322,0.999032754,0.797434006,0.809352154,0.303468935,0.781612922,9450000000,2820000000,0.465876551,0.000717072,0.116813443,0.17955417,0.17955417,0.17955417,0.222842016,0.327226427,0.038840238,0.10829737,0.177449725,0.022148234,0.848213934,0.689320139,0.689318523,0.217585447,6930000000,0.000432609,0.263906567,0.387019858,0.005992493,0.004937073,0.632369762,0.010634786,0.159294978,0.840705022,0.006320613,0.376910999,0.005687579,0.108253131,0.176510067,0.401017921,0.140929535,0.000994187,0.006364184,0.000203684,0.00059839,0.040322581,0.069612091,0.408685918,0.014307287,0.751361066,0.30897118,0.36354434,0.07816688,0.004983623,0.003686037,0.112297784,0.349729194,0.287206794,0.002961172,0.668085269,0.731992116,0.332584241,0.015278887,0.934908129,0.002311077,0.021515097,9770000000,869000000,0.593915184,6170000000,0.671584871,0.113537987,0.668085269,0.332584241,0.122322308,0.663523589,0.462576059,0.611303082,0.31871527,0.047955987,0,0.806166151,0.019382411,0.623567068,0.603454607,0.841063291,0.282491596,0.027484546,0.567154732,1,0.022625974
0.393652806,0.491550371,0.433534986,0.618328313,0.618328313,0.997818006,0.797021751,0.808971196,0.305289653,0.78067313,0.001548488,0.001602095,0.449012355,0.000131013,0,0.151742447,0.151742447,0.151742447,0.199111279,0.308905708,0.003871924,0.07458676,0.164946901,0.022611263,0.848027499,0.689581554,0.689581554,0.217595694,8980000000,0.000421105,0.264995221,0.346261317,0.005837735,0.003015021,0.630504719,0.005602823,0.112343925,0.887656075,0.005305683,0.374384622,0.005365848,0.074576188,0.163939371,0.398759149,0.043478261,0.001091577,0.005793772,3670000000,9680000000,0.01516129,0.003945185,0.376902377,0.008352594,0.749036354,0.171963528,0.314686697,0.013687527,0.003114223,0.000725155,0.099901994,0.309429509,0.262473659,0.007385502,0.837833788,0.731816711,0.330432063,0.004383238,0.892577481,0.002176094,0.065649719,0.00034247,0.000190188,0.593910535,3950000000,0.671336071,0.320227751,0.837833788,0.330432063,0.113052158,0.536940897,0.435450604,0.449972257,0.298615617,0.049174614,0,0.775251833,0.00025674,0.623665898,0.618327936,0.838492812,0.278842446,0.026758846,0.564999472,1,0.033495235
0.508994296,0.568741823,0.552224423,0.59874746,0.59874746,0.999004792,0.797420172,0.809334707,0.303503015,0.781594536,4660000000,0,0.457051072,0.000435044,0.264196781,0.179512031,0.179512031,0.179512031,0.238158268,0.214189715,0.175960797,0.131503949,0.236273255,0.022206531,0.848622873,0.691707501,0.691707501,0.217853415,0.000136423,0.001119054,0.264633113,0.314677173,0.00742837,0.005180995,0.631602992,0.033256732,0.233062249,0.766937751,0.005544726,0.390209424,0.005365848,0.131491524,0.194449891,0.446990513,0.380809595,0.000894768,0.007066097,0.000189353,0.001602262,0.238709677,0.117982463,0.409341715,0.009475143,0.798293218,0.656024448,0.898149888,0.014197528,0.005263447,0.000336595,0.22383634,0.328634202,0.277748388,0.005943848,0.922165915,0.741035231,0.353466286,0.00203193,0.936097625,0.002346626,0.019553191,0.000114769,8580000000,0.593931716,529000000,0.6715697,0.094124596,0.922165915,0.353466286,0.118840893,0.633904761,0.458277062,0.474907766,0.310680289,0.03899484,0,0.809304473,0.000954211,0.623559707,0.598746999,0.842898793,0.298897671,0.027079681,0.566239082,1,0.01422908
0.416516355,0.47797645,0.474168853,0.616980643,0.616980643,0.998902995,0.796658192,0.808718353,0.302384916,0.780927166,0.000440922,6860000000,0.462692601,0.000658066,0,0.15528212,0.15528212,0.15528212,0.199205824,0.319056377,0.005384394,0.09372201,0.155908714,0.030853558,0.848138175,0.689400901,0.689400901,0.217591433,0.000109087,0.000870858,0.264157556,0.379605827,0.002374408,0.001894603,0.629525965,0.011729999,0.166520543,0.833479457,0.00517768,0.379579407,0.005365848,0.093735242,0.154950607,0.396358365,0.03898051,0.000797379,0.007938792,0.000101651,4310000000,0.020645161,0.003152035,0.391329911,0.00942121,0.697667398,0.112146603,0.137863132,0.048216428,0.001951064,0.002473304,0.10319613,0.342972191,0.276895773,0.001450938,0.586198995,0.726941503,0.332391134,0.043429012,0.910578421,0.002083496,0.036684198,0.000170652,0.000143955,0.59374469,0.000160375,0.671559088,0.391752058,0.586198995,0.332391134,0.124288815,0.63779082,0.458485546,0.577061171,0.313474037,0.113155622,0,0.764491064,0.00089142,0.623175015,0.616975368,0.836718306,0.283286111,0.026556649,0.563721308,1,0.021481561
0.471310876,0.535870039,0.52443921,0.615308667,0.615308667,0.999023857,0.797357088,0.809285232,0.303353162,0.781539097,0.000293254,6760000000,0.459424775,0.000636064,0,0.169061565,0.169061565,0.169061565,0.212347547,0.312619368,0.018497512,0.10064327,0.168411539,0.022074876,0.847993572,0.689014607,0.689014607,0.217549423,6630000000,0.000438948,0.263774468,0.366184196,0.006172212,0.003137917,0.640100136,0.011574973,0.165553103,0.834446897,0.00521981,0.381105969,0.005365848,0.100615565,0.167423271,0.406346,0.077961019,0.000458543,0.013819663,3440000000,0.000145248,0.027580645,0.009664674,0.393964406,0.008520125,0.755729691,0.323247159,0.521668425,0.023760676,0.003714429,0.000807772,0.155952972,0.335353676,0.282490126,0.006700344,0.898094526,0.732404191,0.335491656,0.002656625,0.930467637,0.002216079,0.033596171,0.000270492,0.000169417,0.59392164,3330000000,0.67154582,0.274365703,0.898094526,0.335491656,0.11389208,0.61848769,0.455500372,0.536284025,0.309409309,0.046616948,0,0.793218334,0.001286746,0.623500388,0.615306609,0.839754353,0.283173732,0.023831762,0.572995905,1,0.021630429
0.532491591,0.590002181,0.575566144,0.606545208,0.606538001,0.999063143,0.797538038,0.809427277,0.303587126,0.781691378,0.000113092,4470000000,0.468414652,0.000752075,0.192124709,0.197041844,0.197041844,0.197041844,0.240332798,0.332991441,0.045706853,0.117091442,0.195978007,0.022143129,0.848117588,0.689483019,0.689483019,0.217612336,7510000000,0.000503205,0.264143569,0.393223054,0.007409649,0.006098664,0.631183819,0.007420276,0.132569459,0.867430541,0.007141522,0.374069244,0.005392659,0.116973635,0.194924968,0.399001638,0.154422789,0.001566352,0.004036428,0.000179609,0.001048506,0.040483871,0.042283683,0.406390629,0.005520159,0.772275956,0.341000202,0.410093699,0.189971786,0.006005734,0.009749696,0.103143742,0.3562543,0.27749938,0.003979752,0.735213588,0.733543697,0.331109219,0.007686797,0.943416793,0.002421159,0.025738888,0.000104504,9050000000,0.593930194,0.000141354,0.671579942,0.076555854,0.735213588,0.331109219,0.116340441,0.656221085,0.461821037,0.631765162,0.316811289,0.03909045,0,0.824763379,0.018104896,0.623732965,0.606541906,0.842458578,0.280160499,0.026945197,0.565799448,1,0.027899063
0.459123483,0.510957261,0.505808662,0.602660747,0.60258868,0.999016693,0.797317385,0.809256589,0.303298779,0.781503308,9620000000,3460000000,0.467267222,0.00049605,0,0.165732586,0.165521891,0.165521891,0.202514891,0.330975454,0.039172981,0.105447439,0.160126535,0.022090521,0.848067873,0.685937179,0.687983084,0.217418676,5590000000,0.000453421,0.26343878,0.400935137,0.006743817,0.005718121,0.628920494,0.011727264,0.166520543,0.833479457,0.006531847,0.378907272,0.006172004,0.105264872,0.160266948,0.403769712,0.166416792,0.00081361,0.007777403,0.000228905,0.00069976,0.053225806,0.04128784,0.399663056,0.00506356,0.766207063,0.440059424,0.49496124,0.10301112,0.005852186,0.004013781,0.13600644,0.354433749,0.277614057,0.002658021,0.777001737,0.733394066,0.334361461,0.00736538,0.926508907,0.002171371,0.042213557,0.00010401,968000000,0.593923871,6340000000,0.671580372,0.086908857,0.777001737,0.334361461,0.118779025,0.659895,0.461879454,0.63864435,0.318172038,0.042812007,0,0.781470021,0.044330421,0.623705415,0.602658445,0.838511681,0.283284064,0.026445386,0.562707878,1,0.021484238
0.497489397,0.572230702,0.550082981,0.606033526,0.606033526,0.999013689,0.797554915,0.809465816,0.30372006,0.781709905,0.000154606,3920000000,0.467421555,0.000574057,0.034315214,0.212591126,0.212591126,0.212591126,0.228609246,0.322663932,0.02193082,0.10064327,0.183701137,0.022059816,0.847998278,0.689444903,0.689444903,0.217611529,8690000000,0.000470739,0.264056539,0.381505905,0.01383459,0.01051795,0.631036904,0.003449785,0.080902137,0.919097863,0.007020277,0.372513605,0.005878303,0.100607423,0.182769022,0.396202957,0.085457271,0.001231575,0.005131993,0.000140057,0.00040397,0.020645161,0.028142121,0.396915493,0.009932497,0.79920461,0.279482133,0.311570356,0.071103163,0.012027612,0.008756989,0.042702523,0.349610682,0.277098207,0.005017458,0.486485924,0.734689893,0.327732579,0.014262058,0.939647468,0.00245464,0.014947198,0.000161516,0.000149793,0.593982303,0.000102272,0.671599711,0.107066332,0.486485924,0.327732579,0.116771632,0.667586468,0.466859693,0.588583184,0.31773931,0.02118851,0,0.81561313,0.023896288,0.624040227,0.606032578,0.841297632,0.277281237,0.02693073,0.565746265,1,0.047464444
0.48457076,0.549116877,0.532737299,0.596758385,0.596772799,0.998993237,0.797398591,0.809320255,0.303489721,0.781578255,2650000000,0,0.461488136,0.000468047,0.230084017,0.227129072,0.227129072,0.227129072,0.223787463,0.317924595,0.151156284,0.118231414,0.180085863,0.022078384,0.848009277,0.689210784,0.689210784,0.217572187,7670000000,0.000457963,0.263560777,0.37539585,0.011318529,0.007122386,0.632111889,0.009376339,0.149922907,0.850077093,0.007730703,0.376102424,0.006760627,0.118227564,0.179126763,0.407254332,0.325337331,0.001625191,0.003889555,0.000153623,0.003022209,0.077258065,0.181020225,0.411670926,0.009066144,0.833095158,0.436541593,0.644489401,0.025292558,0.007420652,0.001252267,0.106932936,0.340858671,0.277350585,0.010415666,0.675070192,0.7388188,0.331891712,0.007574103,0.93556498,0.002300996,0.016281113,7450000000,5150000000,0.593943014,903000000,0.671568695,0.061236353,0.675070192,0.331891712,0.120231192,0.629871947,0.457054173,0.565588899,0.312102116,0.025840296,0,0.802718479,0.013002892,0.623997999,0.596754577,0.840675273,0.281579026,0.027323539,0.566846473,1,0.024265743
0.456734754,0.501471871,0.501151025,0.598033987,0.598033987,0.998770693,0.797042917,0.808999189,0.303333826,0.781210956,0.000269433,0.000130735,0.462090368,0.000532053,0,0.177700055,0.177700055,0.177700055,0.201096719,0.3180307,0.008469834,0.087696442,0.159674625,0.021973468,0.847769387,0.688805907,0.688805907,0.217519893,6340000000,0.000419808,0.263194784,0.376895421,0.011675471,0.005957676,0.629504048,0.00556817,0.11192067,0.88807933,0.005191723,0.375620411,0.005365848,0.087718013,0.158690898,0.398665368,0.04197901,0.000655352,0.009638925,3130000000,4610000000,0.015806452,0.007373353,0.387259447,0.021919792,0.792535478,0.183536992,0.313649682,0.069745381,0.006665752,0.00723084,0.050817615,0.341557359,0.277424281,0.013283968,0.421745059,0.734709602,0.328338843,0.021009357,0.924539459,0.002063503,0.021528282,0.000307016,0.000182612,0.594020545,0.000181758,0.671551161,0.49756251,0.421745059,0.328338843,0.121032965,0.632435781,0.456906918,0.567880613,0.31299074,0.025062115,0,0.774962322,0.007082546,0.623870859,0.598029129,0.838474849,0.278817139,0.026546982,0.563644261,1,0.033637584
0.493784429,0.557021369,0.540928315,0.598271811,0.598286225,0.998997166,0.797400251,0.809321818,0.303484404,0.781581483,4680000000,0,0.465368259,0.000555056,0.210446401,0.194471367,0.194471367,0.194471367,0.222463837,0.329277782,0.105494805,0.113182966,0.177750998,0.022141549,0.848041346,0.689267597,0.689267597,0.217582766,0.000107292,0.000569384,0.263896465,0.385678626,0.014273902,0.008948991,0.632934823,0.013820115,0.178432143,0.821567857,0.00730487,0.381713239,0.006687506,0.112935007,0.176570394,0.414959078,0.305847076,0.001038824,0.006086663,0.000155533,0.001873088,0.091129032,0.122077464,0.406808982,0.008838096,0.872421332,0.555758759,0.771543904,0.083647192,0.009935001,0.004346867,0.101857881,0.34718739,0.277243886,0.011552626,0.539705141,0.744537574,0.332923126,0.011031126,0.933466476,0.002281348,0.020808165,0.000113976,8390000000,0.593965236,3600000000,0.67157913,0.073432564,0.539705141,0.332923126,0.130975732,0.663478117,0.462223968,0.602162126,0.319369184,0.020540257,0,0.802207912,0.006179674,0.624188438,0.59827128,0.840767536,0.284801776,0.027946436,0.56779003,1,0.019796751
0.543557744,0.594145225,0.580973286,0.650319261,0.650319261,0.999087177,0.797522405,0.809406706,0.303509541,0.781673413,0.000791647,0,0.468525368,0.001009101,0.257515943,0.18486368,0.18486368,0.18486368,0.250543632,0.333911014,0.07438329,0.139076622,0.20810424,0.022092196,0.847991725,0.68928563,0.68928563,0.217580546,0.00013458,0.000534448,0.262960891,0.389497411,0.015750341,0.010834237,0.630619786,0.018124367,0.197206518,0.802793482,0.006884376,0.369653957,0.005365848,0.139047666,0.2071337,0.400616005,0.226386807,0.009939842,0.000636162,3690000000,0.000498532,0.073548387,0.002270758,0.392890256,0.000143303,0.861571417,0.521570589,0.656608086,0.14327601,0.012091763,0.009619623,0.078729898,0.348876097,0.277168663,0.009795885,0.373911679,0.745560249,0.332371321,0,0.941018173,0.002261125,0.156158144,0.000144321,0.000117752,0.593981475,8930000000,0.671589942,0.044124042,0.373911679,0.332371321,0.110933234,0.679552456,0.46404147,0.616732833,0.324723135,0.018623549,0,0.824464072,0.000271539,0.623784387,0.650317412,0.843970032,0.287923476,0.026792912,0.565166753,1,0.017541881
0.494369424,0.542411688,0.54927994,0.621564162,0.621578576,0.999254027,0.797397207,0.80931687,0.30294179,0.781563378,0.00016351,0,0.471882103,0.000537054,0.379997976,0.150688972,0.150688972,0.150688972,0.214427531,0.324326236,0.004476912,0.101294683,0.170219176,0.022152169,0.851135486,0.689706232,0.689706232,0.217628088,5930000000,0.000447282,0.26461291,0.389171417,0.002429946,0.001862164,0.634850892,0.012774145,0.172748435,0.827251565,0.004995033,0.382786865,0.005365848,0.101307669,0.169218008,0.394533663,0.029985007,0.001456788,0.004340419,19100000,1970000000,0.016774194,0.019464477,0.410958594,0.128128233,0.717846229,0.089526653,0.085768864,0.013957401,0.002568725,0.001140955,0.064578267,0.351956109,0.27697486,0,0.348433646,0.728688581,0.330265163,0.129463267,0.902946483,0.002234526,0.018897526,0.000111784,0.000123165,0.593802613,4950000000,0.671579497,0.809538601,0.348433646,0.330265163,0.137702003,0.645554353,0.459663313,0.627552517,0.315152018,0.110853871,0,0.796451298,0.002059795,0.624200238,0.621564918,0.840096341,0.284042984,0.038176662,0.569769277,1,0.02057203
0.393262809,0.449574793,0.436961293,0.598675392,0.59874746,0.998926104,0.79713519,0.809071578,0.303169954,0.781311167,0.00012535,306000000,0.461313673,0.000524052,0,0.173612574,0.173612574,0.173612574,0.170747849,0.317358704,0.038704115,0.088999267,0.13579875,0.022013481,0.847736424,0.689479787,0.689479787,0.21759156,5190000000,0.00037222,0.264333947,0.375889497,0.003671127,0.002424868,0.630137943,0.011326932,0.163950782,0.836049218,0.006405401,0.38108472,0.005401189,0.088963799,0.134793756,0.398503262,0.136431784,0.001533889,0.004122673,0.000303997,0.000878294,0.038709677,0.02659401,0.388876326,0.003763478,0.70010111,0.276012078,0.315550114,0.075691333,0.003180007,0.002588531,0.155027391,0.340458714,0.27683554,0.001625474,0.901309411,0.727261754,0.335325846,0.005396716,0.91223093,0.002039218,0.051265241,7570000000,7030000000,0.59387892,5530000000,0.671559128,0.084525478,0.901309411,0.335325846,0.114556904,0.61960443,0.455638637,0.563569086,0.309703621,0.076141407,0,0.738702356,0.003901852,0.623399801,0.598676054,0.83411093,0.282993583,0.026655807,0.564418215,1,0.02187747
0.469117145,0.540558221,0.522030087,0.596145808,0.596145808,0.998926682,0.797431239,0.809355018,0.303685981,0.781584571,8290000000,2070000000,0.46425438,0.000363036,0,0.167502423,0.167502423,0.167502423,0.21518389,0.319693004,0.00813709,0.093884863,0.171424268,0.022067559,0.848076226,0.689771499,0.689771499,0.217634357,6320000000,0.000459784,0.264478479,0.380183302,0.005116989,0.002518444,0.632025931,0.00526359,0.108020679,0.891979321,0.005255906,0.373227119,0.005365848,0.094174931,0.170115376,0.395716638,0.050974513,0.001535918,0.004118403,0.000100887,7790000000,0.017741935,0.090753933,0.381696479,0.148658875,0.742486007,0.141403097,0.185407468,0.023091561,0.003848988,0.001805182,0.067549642,0.345743138,0.276114939,0.003629664,0.584815223,0.731392211,0.328989732,0,0.932699818,0.002331773,0.006735282,0.000143581,0.000113334,0.593898002,4940000000,0.671579063,0.334075853,0.584815223,0.328989732,0.110933234,0.647019969,0.460229428,0.582561265,0.315167816,0.055752491,0,0.799961548,0.001999761,0.623040009,0.596141415,0.84033358,0.278596596,0.027423147,0.567044112,1,0.034956
0.599083508,0.64745966,0.642914503,0.61664913,0.616692371,0.999249983,0.797918889,0.809748474,0.303861696,0.782046046,8920000000,3680000000,0.472665509,0.000148015,0.130782468,0.215877966,0.215877966,0.215877966,0.27588163,0.335962368,0.028661313,0.13386532,0.226406568,0.022176031,0.848127105,0.689687217,0.689687217,0.217627896,8070000000,0.000509169,0.264828931,0.38344324,0.010806831,0.009204142,0.630660539,0.004832253,0.102185809,0.897814191,0.005768585,0.372713791,0.005695501,0.133820249,0.224605987,0.398204503,0.092953523,0.000730423,0.008667176,0.00014254,0.00022241,0.024677419,0.016867647,0.408199724,0.00957914,0.799915895,0.362248449,0.404914975,0.04024462,0.009383964,0.003012502,0.070567032,0.362707641,0.27713542,0.004027521,0.64571648,0.735037238,0.329027457,0.005465615,0.952830225,0.003155396,0.011445735,0.000185886,0.000171175,0.593975044,5090000000,0.671577671,0.195712392,0.64571648,0.329027457,0.114141005,0.648420717,0.460626314,0.638484204,0.315349825,0.027045169,0,0.857985872,0.02090308,0.625111534,0.616645909,0.844438616,0.278283916,0.02680421,0.565219879,1,0.037101874
0.487495734,0.565961622,0.536698967,0.611971922,0.611971922,0.999040611,0.797588117,0.809473107,0.303721511,0.781597904,0.000222947,7130000000,0.469952945,0.001191119,0.152444579,0.179301336,0.179301336,0.179301336,0.216223882,0.322663932,0.011812393,0.099584724,0.178805453,0.02209286,0.848035675,0.68963202,0.68963202,0.217577725,7450000000,0.000456241,0.26418009,0.382381431,0.024066072,0.015043288,0.631084848,0.003754366,0.085981195,0.914018805,0.005466973,0.370741003,0.005365848,0.099589623,0.177807104,0.398690823,0.067466267,0.001136214,0.005562363,3670000000,0.000114988,0.018870968,0.005308227,0.39334253,0.006015211,0.875046002,0.44301193,0.604419706,0.01091946,0.01702885,0.001207859,0.047599127,0.354019955,0.277173115,0.018511758,0.512051734,0.739182885,0.327952618,0.003329799,0.94506459,0.002391974,0.018441638,0.000383393,0.000284684,0.594118219,1850000000,0.671552263,0.292253529,0.512051734,0.327952618,0.113611912,0.627599737,0.454823763,0.602545088,0.312546223,0.012165135,0,0.813442441,0.000781519,0.624533175,0.611973683,0.841185659,0.277502058,0.026929299,0.565740938,1,0.044549722
0.498025642,0.568741823,0.554687082,0.555780568,0.555780568,0.996816789,0.809512512,0.821052859,0.329206969,0.795630642,0.001546985,0,0.464740864,0.00049805,0,0.180607644,0.180607644,0.180607644,0.225678359,0.319056377,0.000181496,0.093396303,0.177826316,0.022184438,0.848082202,0.690522938,0.690522938,0.217729839,6340000000,0.000471264,0.264596592,0.378776871,0.005938827,0.002155993,0.631168751,0.002708396,0.06744868,0.93255132,0.007494663,0.372663465,0.005365848,0.093385119,0.176789081,0.395241036,0.00149925,6490000000,0.096489153,287000000,605000000,0.009032258,0.006421574,0.346057303,0.138723161,0.7504686,0.047737648,0.116134608,0.003424949,0.002509911,0.000481754,0.037329957,0.345826456,1,0.00920664,0.506357324,0.731912005,0.327456852,0.02898031,0.937490245,0.002861662,0.005403633,0.004941808,0.002213732,0.593915841,0.000357547,0.671452224,0.090262591,0.506357324,0.327456852,0.115252025,0.641440724,0.458730908,0.576240088,0.314385849,0.048371264,0,0.815948987,0.011030435,0.622510705,0.555780622,0.841244427,0.276743372,0.026968091,0.565881061,1,0.057176028
0.479695803,0.544592237,0.528615022,0.600952738,0.601010392,0.99897059,0.797407444,0.809326635,0.303552321,0.781584852,0.00011714,560000000,0.460716472,0.000474047,0.23393056,0.166828199,0.166828199,0.166828199,0.217925688,0.314918299,0.038250374,0.096979073,0.173834451,0.022252961,0.848170573,0.689792129,0.689792129,0.217637582,5820000000,0.000510367,0.264367361,0.370720167,0.006482975,0.002783576,0.632906399,0.017864471,0.196239079,0.803760921,0.005504347,0.380628429,0.005365848,0.096975915,0.172724531,0.407242274,0.124437781,0.000752742,0.008393925,0.000126872,0.000500045,0.055,0.017889928,0.392528437,0.004817818,0.765170962,0.576191665,0.660130886,0.025794461,0.005521576,0.000728258,0.187884127,0.338810269,0.277983118,0.002838152,0.916307926,0.733701744,0.340788385,0.002359417,0.929365899,0.002264693,0.020739442,0.000200244,0.000179228,0.59392641,2160000000,0.671555034,0.140303303,0.916307926,0.340788385,0.115250554,0.616260376,0.45578641,0.552988216,0.307240303,0.044469158,0,0.800164462,0.001545003,0.623645151,0.600953336,0.840616183,0.287735085,0.027885045,0.567721316,1,0.017647381
0.529956613,0.587167466,0.578778307,0.610984592,0.610984592,0.999110402,0.797538176,0.809444594,0.303488513,0.781713694,0.000137145,374000000,0.466149988,0.000509051,0.075007592,0.178753529,0.178753529,0.178753529,0.235983738,0.328711891,0.032427364,0.117824281,0.188370867,0.022116043,0.848039099,0.689525088,0.689525088,0.217607504,7580000000,0.000499362,0.264215058,0.392161246,0.00624023,0.003177843,0.631406419,0.010954869,0.16150195,0.83849805,0.005004572,0.380806249,0.005365848,0.117828586,0.187436845,0.40320301,0.122938531,0.000856218,0.007393998,0.000111969,0.000109692,0.038870968,0.010064186,0.39696072,0.013136484,0.755769183,0.276918602,0.410559167,0.022789051,0.004102722,0.000991194,0.121792065,0.350954676,0.280726066,0.005874134,0.715882168,0.732393096,0.333237105,0.011812718,0.940189204,0.002432971,0.021771048,0.000137355,9440000000,0.59391936,2160000000,0.671574203,0.601156809,0.715882168,0.333237105,0.121015526,0.645531276,0.459686069,0.618322364,0.315098921,0.046128244,0,0.821827367,0.000862914,0.623473875,0.610979303,0.842672682,0.282723965,0.027050751,0.566152094,1,0.022267878
